OBJECTID,F5_Digit_NTD_ID,NTDID5,Legacy_NTD_ID,Agency_Name,Reporter_Acronym,Doing_Business_As,Reporter_Status,Reporter_Type,Reporting_Module,Organization_Type,Reported_By_NTD_ID,Reported_by_Name,Subrecipient_Type,FY_End_Date,Original_Due_Date,Address_Line_1,Address_Line_2,PO_Box,City,State,Zip_Code,Zip_Code_Ext,Region,URL,FTA_Recipient_ID,Service_Area_Sq_Miles,Service_Area_Pop,Primary_UZA,UZA_Name,Tribal_Area_Name,Density,Sq_Miles,Required_Reporter,VOMS_DO,VOMS_PT,Total_VOMS,Volunteer_Drivers,Personal_Vehicles,MSGUSPS,MSG2KX,LON,LAT,NTMParticipation
11,10196,10196, ,Pittsfield Council on Aging, , ,Active,Reduced Reporter,Urban,Area Agency on Aging, , , ,6/30/2016 0:00,10/31/2016 0:00,330 North Street, , ,Pittsfield,MA,1201, ,1,http://www.cityofpittsfield.org/city_hall/council_on_aging/, ,42,43697,448,"Pittsfield, MA", ,1765,34, ,3, ,3, , ,100% Overall probable correctness,** Street-Level Rooftop **,-73.252303,42.453287,Yet To Be Contacted
12,11152,11152,1T03,Mashantucket Pequot Tribal Nation, , ,Active,Reduced Reporter,Tribal,Tribe, , , ,9/30/2016 0:00,1/31/2017 0:00,103 Pequot Trail,ATTENTION: Keith Gove,3201,Mashantucket,CT,6338, ,1, , ,0,0,0,Connecticut Non-UZA,"Mashantucket Pequot Reservation and Off-Reservation Trust Land, CT",0,0, ,13, ,13, , ,100% Overall probable correctness,** Street-Level Rooftop **,-71.958602,41.465887,Yet To Be Contacted
13,11154,11154,1135,"Flight Line, Inc.", , ,Inactive,Reduced Reporter,Urban,Private-For-Profit Corporation, , , ,12/31/2016 0:00,4/30/2017 0:00,51A Pelham Rd, , ,Salem,NH,3079, ,1,www.eastwestnh.com, ,517,290127,209,"Manchester, NH", ,1838,86,N,2, ,2, , ,100% Overall probable correctness,**  Centroid Lat/Long   **,-71.257822,42.771514,Yet To Be Contacted
14,4,00004,0T04,Confederated Tribes of the Colville Indian Reservation, , ,Active,Reduced Reporter,Tribal,Tribe, , , ,9/30/2016 0:00,1/31/2017 0:00,CCT DOT, ,150,Nespelem,WA,99155, ,10,http://www.colvilletribes.com/,6683,0,0,0,Washington Non-UZA,"Colville Reservation and Off-Reservation Trust Land, WA",0,0, ,6, ,6, , ,Insufficient or Blank address,**  Centroid Lat/Long   **,-118.9735,48.2118,Yet To Be Contacted
15,5,00005,5,Everett Transit,ET, ,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,3225 Cedar Street, , ,Everett,WA,98201, ,10,http://www.everettwa.org/transit/,1743,34,106736,14,"Seattle, WA", ,3028,1010,Y,58, ,58, , ,100% Overall probable correctness,** Street-Level Rooftop **,-122.193689,47.97498,Yet To Be Contacted
16,9,00009,0T09,Kalispel Tribe of Indians,KTI, ,Active,Reduced Reporter,Tribal,Tribe, , , ,12/31/2016 0:00,4/30/2017 0:00,P.O. Box 39, , ,Usk,WA,99180,39,10,http://www.kalispeltribe.com/,6680,0,0,0,Washington Non-UZA,"Kalispel Reservation and Off-Reservation Trust Land, WA",0,0, ,8, ,8, , ,100% Overall probable correctness,**  Centroid Lat/Long   **,-117.1542,48.3182,Yet To Be Contacted
17,10,00010,0T10,Klamath Tribes,KT, ,Active,Reduced Reporter,Tribal,Tribe, , , ,12/31/2016 0:00,4/30/2017 0:00,501 Chiloquin Blvd., ,436,Chiloquin,OR,97624, ,10,http://www.klamathtribes.org/,6806,0,0,0,Oregon Non-UZA,"Klamath Reservation, OR",0,0, ,6, ,6, , ,90% Overall probable correctness,** Street-Level Rooftop **,-121.873981,42.575478,Yet To Be Contacted
18,13,00013,0T13,Orutsararmiut Native Council,ONC, ,Active,Reduced Reporter,Tribal,Tribe, , , ,9/30/2016 0:00,1/31/2017 0:00,P.O. Box 927, ,927,Bethel,AK,99559,927,10,http://www.nativecouncil.org/,6670,0,0,0,Alaska Non-UZA,"Bethel ANVSA, AK",0,0, ,0, ,0, , ,100% Overall probable correctness,**  Centroid Lat/Long   **,-161.6676,60.7908,Yet To Be Contacted
19,14,00014,0T14,Sitka Tribe of Alaska,STA, ,Active,Reduced Reporter,Tribal,Tribe, , , ,12/31/2016 0:00,4/30/2017 0:00,456 Katlian Street, , ,Sitka,AK,99835, ,10,www.sitkatribe.org,6669,0,0,0,Alaska Non-UZA,"Sitka ANVSA, AK",0,0, ,1, ,1, , ,100% Overall probable correctness,** Street-Level Rooftop **,-135.345442,57.053318,Yet To Be Contacted
20,15,00015,0T15,Snoqualmie Indian Tribe, , ,Active,Reduced Reporter,Tribal,Tribe, , , ,9/30/2016 0:00,1/31/2017 0:00,9571 Ethan Wade Way SE,PO Box 969,969,Snoqualmie,WA,98065, ,10,http://www.svtbus.org/,6685,0,0,0,Washington Non-UZA,"Snoqualmie Reservation, WA",0,0, ,4, ,4, , ,100% Overall probable correctness,** Street-Level Rooftop **,-121.825603,47.514151,Yet To Be Contacted
21,17,00017,0T17,Stillaguamish Tribe of Indians, , ,Active,Reduced Reporter,Tribal,Tribe, , , ,9/30/2016 0:00,1/31/2017 0:00,3322 236th Street NE, ,277,Arlington,WA,98223,277,10,http://www.stillaguamish.com/,6801,0,0,0,Washington Non-UZA,"Stillaguamish Reservation and Off-Reservation Trust Land, WA",0,0, ,22, ,22, , ,100% Overall probable correctness,** Street-Level Rooftop **,-122.184974,48.209882,Yet To Be Contacted
22,23,00023,23,City of Seattle - Seattle Center Monorail Transit,SMS, ,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,305 Harrison Street, , ,Seattle,WA,98109,4695,10,http://www.seattlemonorail.com/,1749,83,495500,14,"Seattle, WA", ,3028,1010,Y,0,8,8, , ,100% Overall probable correctness,** Street-Level Rooftop **,-122.351167,47.622245,Yet To Be Contacted
23,26,00026,0T26,Bristol Bay Native Association,BBNA, ,Active,Reduced Reporter,Tribal,Tribe, , , ,9/30/2016 0:00,1/31/2017 0:00,1500 Kanakanak Road, ,310,Dillingham,AK,99576,310,10,http://www.bbna.com/,7163,0,0,0,Alaska Non-UZA,"Dillingham ANVSA, AK",0,0, ,0, ,0, , ,House # not found on this street,** Street-Level Rooftop **,-158.493085,59.043815,Yet To Be Contacted
24,27,00027,0T27,Confederated Tribes of Siletz Indians,CTSI, ,Active,Reduced Reporter,Tribal,Tribe, , , ,6/30/2016 0:00,10/31/2016 0:00, , ,549,Siletz,OR,97380,549,10,http://www.ctsi.nsn.us/,7043,0,0,0,Oregon Non-UZA,"Siletz Reservation and Off-Reservation Trust Land, OR",0,0, ,0, ,0, , ,Insufficient or Blank address,**  Centroid Lat/Long   **,-123.8163,44.779,Yet To Be Contacted
25,28,00028,28,Pierce County Ferry Operations,Pierce County Ferry, ,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,12/31/2016 0:00,4/30/2017 0:00,"2702 S 42nd ST, Ste 201", , ,Tacoma,WA,98409, ,10,http://www.co.pierce.wa.us/,5013,233,844490,14,"Seattle, WA", ,3028,1010,Y,0,2,2, , ,100% Overall probable correctness,** Street-Level Rooftop **,-122.472238,47.219096,Yet To Be Contacted
26,29,00029,29,Snohomish County Public Transportation Benefit Area Corporation,Community Transit, ,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service, , , ,12/31/2016 0:00,4/30/2017 0:00,7100 Hardeson Road, , ,Everett,WA,98203,5834,10,http://www.commtrans.org/,2578,261,737745,14,"Seattle, WA", ,3028,1010,Y,510,99,609, , ,100% Overall probable correctness,** Street-Level Rooftop **,-122.249692,47.932834,Yet To Be Contacted
27,30,00030,0T30,Chickaloon Native Village,CATs, ,Active,Reduced Reporter,Tribal,Tribe, , , ,9/30/2016 0:00,1/31/2017 0:00,P.O. Box 1105, , ,Chickaloon,AK,99674, ,10,http://www.chickaloontransit.com,6666,0,0,0,Alaska Non-UZA,"Chickaloon ANVSA, AK",0,0, ,3, ,3, , ,100% Overall probable correctness,**  Centroid Lat/Long   **,-147.4542,62.2062,Yet To Be Contacted
28,31,00031,0T31,Shoshone-Bannock Tribes,SBTDOT, ,Active,Reduced Reporter,Tribal,Tribe, , , ,9/30/2016 0:00,1/31/2017 0:00, , ,306,Fort Hall,ID,83203, ,10,http://www.sbtribes.com/,6976,0,0,0,Idaho Non-UZA,"Fort Hall Reservation and Off-Reservation Trust Land, ID",0,0, ,12, ,12, , ,Insufficient or Blank address,**  Centroid Lat/Long   **,-112.1898,43.1441,Yet To Be Contacted
29,32,00032,0T32,Skokomish Indian Tribe, , ,Active,Reduced Reporter,Tribal,Tribe, , , ,9/30/2016 0:00,1/31/2017 0:00,North 80 Tribal Center Road, , ,Skokomish,WA,98584, ,10,n/a,6682,0,0,0,Washington Non-UZA,"Skokomish Reservation, WA",0,0, ,2, ,2, , ,100% Overall probable correctness,** Street-Level Rooftop **,-123.152912,47.327674,Yet To Be Contacted
30,35,00035,35,Washington State Ferries,WSF, ,Active,Full Reporter,Urban,State Government Unit or Department of Transportation, , , ,6/30/2016 0:00,10/31/2016 0:00,2901 Third Avenue, , ,Seattle,WA,98121,1081,10,http://www.wsdot.wa.gov/ferries/index.cfm/,1724,1945,3919300,14,"Seattle, WA", ,3028,1010,Y,19, ,19, , ,90% Overall probable correctness,** Street-Level Rooftop **,-122.351109,47.618227,Yet To Be Contacted
31,36,00036,0T36,Makah Tribal Council, , ,Active,Reduced Reporter,Tribal,Tribe, , , ,12/31/2016 0:00,4/30/2017 0:00,P.O. Box 115, , ,Neah Bay,WA,98357,115,10,http://www.makah.com/,6907,0,0,0,Washington Non-UZA,"Makah Indian Reservation, WA",0,0, ,1, ,1, , ,100% Overall probable correctness,**  Centroid Lat/Long   **,-124.5803,48.3683,Yet To Be Contacted
32,41,00041,41,Alaska Railroad Corporation,ARRC, ,Active,Full Reporter,Urban,State Government Unit or Department of Transportation, , , ,12/31/2016 0:00,4/30/2017 0:00,327 West Ship Creek Avenue, ,107500,Anchorage,AK,99510,7500,10,http://www.akrr.com/,5806,266,352701,149,"Anchorage, AK", ,2956,85,Y,39, ,39, , ,100% Overall probable correctness,** Street-Level Rooftop **,-149.887992,61.22254,Yet To Be Contacted
33,42,00042,42,Targhee Regional Public Transit Authority,TRPTA, ,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service, , , ,9/30/2016 0:00,1/31/2017 0:00,1810 W.  Broadway  #7, , ,Idaho Falls,ID,83402, ,10,http://www.trpta.org/,5575,552,127290,321,"Idaho Falls, ID", ,2039,45,Y,19, ,19, , ,80% Overall probable correctness,** Street-Level Rooftop **,-112.067065,43.496922,Yet To Be Contacted
34,44,00044,44,Skagit Transit, , ,Active,Full Reporter,Urban,Independent Public Agency or Authority of Transit Service, , , ,12/31/2016 0:00,4/30/2017 0:00,600 County Shop Lane, , ,Burlington,WA,98233,9772,10,http://www.skagittransit.org/,5816,760,109198,435,"Mount Vernon, WA", ,1827,34,Y,90, ,90, , ,100% Overall probable correctness,** Street-Level Rooftop **,-122.332794,48.48297,Yet To Be Contacted
35,46,00046,46,South Metro Area Regional Transit,SMART, ,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,6/30/2016 0:00,10/31/2016 0:00,29799 SW Town Center Loop E, , ,Wilsonville,OR,97070, ,10,http://www.ridesmart.com/,5706,80,22729,24,"Portland, OR-WA", ,3528,524,Y,18, ,18, , ,100% Overall probable correctness,** Street-Level Rooftop **,-122.760057,45.304173,Yet To Be Contacted
36,47,00047,47,City of Corvallis,CTS, ,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,6/30/2016 0:00,10/31/2016 0:00,Corvallis Transit System, ,1083,Corvallis,OR,97339,1083,10,http://www.CorvallisTransit.com/,5664,14,57390,436,"Corvallis, OR", ,2957,21,Y,0,11,11, , ,Insufficient or Blank address,**  Centroid Lat/Long   **,-123.2608,44.5645,Yet To Be Contacted
37,53,00053,53,Coeur d'Alene Tribe dba Citylink Transit,Citylink, ,Active,Reduced Reporter,Tribal,Tribe, , , ,9/30/2016 0:00,1/31/2017 0:00,37914 South Nukwalqw Street, ,236,Worley,ID,83876,236,10,http://www.idahocitylink.com/,6807,388,21188,304,"Coeur d'Alene, ID","Coeur d'Alene Reservation, ID",2083,47,N,4, ,4, , ,Street not found,**  Centroid Lat/Long   **,-116.8991,47.4181,Yet To Be Contacted
38,55,00055,55,Kootenai County,KC, ,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,9/30/2016 0:00,1/31/2017 0:00,451 North Government Way, ,9000,Coeur d'Alene,ID,83816,9000,10,http://www.kcgov.us/,6283,38,78696,304,"Coeur d'Alene, ID", ,2083,47,Y,0,7,7, , ,100% Overall probable correctness,** Street-Level Rooftop **,-116.787305,47.675609,Yet To Be Contacted
39,57,00057,57,Central Oregon Intergovernmental Council,Cascades East Transit, ,Active,Full Reporter,Urban,"MPO, COG or Other Planning Agency", , , ,6/30/2016 0:00,10/31/2016 0:00,334 NE Hawthorne Avenue, , ,Bend,OR,97701, ,10,http://www.coic.org/,7112,75,127940,344,"Bend, OR", ,2110,40,Y,26,21,47, , ,100% Overall probable correctness,** Street-Level Rooftop **,-121.30175,44.058086,Yet To Be Contacted
40,58,00058,58,City of Portland,PBOT, ,Active,Full Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,6/30/2016 0:00,10/31/2016 0:00,1120 SW 5th Street,Room 800, ,Portland,OR,97204, ,10,http://www.portlandoregon.gov/, ,11,72832,24,"Portland, OR-WA", ,3528,524,Y,0,16,16, , ,80% Overall probable correctness,** Street-Level Rooftop **,-122.678879,45.515947,Yet To Be Contacted
41,59,00059,59,Josephine County,JCT,Josephine Community Transit,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,6/30/2016 0:00,10/31/2016 0:00,201 River Heights Way, , ,Grants Pass,OR,97527,5432,10,http://www.co.josephine.or.us/,6746,80,48000,494,"Grants Pass, OR", ,1858,27,Y,16, ,16, , ,100% Overall probable correctness,** Street-Level Rooftop **,-123.340203,42.426798,Yet To Be Contacted
42,60,00060,60,The Tulalip Tribes of Washington,TTT, ,Active,Reduced Reporter,Tribal,Tribe, , , ,12/31/2016 0:00,4/30/2017 0:00,6406 Marine Drive NW, , ,Tulalip,WA,98271, ,10,http://www.tulaliptribes-nsn.gov/,6977,19,5303,225,"Marysville, WA","Tulalip Reservation and Off-Reservation Trust Land, WA",1774,82,Y,1, ,1, , ,80% Overall probable correctness,** Street-Level Rooftop **,-122.262114,48.054233,Yet To Be Contacted
43,61,00061,61,City of Albany,ATS, ,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,6/30/2016 0:00,10/31/2016 0:00,333 Broadalbin, ,490,Albany,OR,97321, ,10,http://www.cityofalbany.net/,5676,20,50724,459,"Albany, OR", ,2379,24,Y,13, ,13, , ,90% Overall probable correctness,** Street-Level Rooftop **,-123.106798,44.635371,Yet To Be Contacted
44,63,00063,63,City of Milton-Freewater, , ,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,6/30/2016 0:00,10/31/2016 0:00,722 S. Main Street, ,6,MiltonFreewater,OR,97862, ,10,http://www.mfcity.com/, ,5,7500,464,"Walla Walla, WA-OR", ,2017,28,Y,0,2,2, , ,100% Overall probable correctness,** Street-Level Rooftop **,-118.385245,45.928309,Yet To Be Contacted
45,64,00064,64,Valley Transit,VT, ,Active,Reduced Reporter,Urban,Independent Public Agency or Authority of Transit Service, , , ,12/31/2016 0:00,4/30/2017 0:00,1401 West Rose Street, , ,Walla Walla,WA,99362,1687,10,http://www.valleytransit.com/,5607,25,47241,464,"Walla Walla, WA-OR", ,2017,28,Y,21, ,21, , ,100% Overall probable correctness,** Street-Level Rooftop **,-118.361747,46.059783,Yet To Be Contacted
46,65,00065,65,Benton County,BCSTF, ,Active,Reduced Reporter,Urban,"City, County or Local Government Unit or Department of Transportation", , , ,6/30/2016 0:00,10/31/2016 0:00,STF Program, ,1083,Corvallis,OR,97333,1083,10,http://www.co.benton.or.us/pw/stf/index.php/,1723,676,86591,436,"Corvallis, OR", ,2957,21,N,0,21,21, , ,Insufficient or Blank address,**  Centroid Lat/Long   **,-123.306798,44.549766,Yet To Be Contacted
47,75,00075,0T05,Confederated Tribes of the Grand Ronde Community of Oregon,CTGR, ,Active,Reduced Reporter,Tribal,Tribe, , , ,12/31/2016 0:00,4/30/2017 0:00,9615 Grand Ronde Rd, , ,Grand Ronde,OR,97347,9712,10,http://www.grandronde.org/,6678,0,0,0,Oregon Non-UZA,"Grand Ronde Community and Off-Reservation Trust Land, OR",0,0, ,0, ,0, , ,100% Overall probable correctness,** Street-Level Rooftop **,-123.612075,45.074559,Yet To Be Contacted
48,85,00085,0T08,Gulkana Village Council,SET, ,Active,Reduced Reporter,Tribal,Tribe, , , ,9/30/2016 0:00,4/30/2017 0:00,254, , ,Gakona,AK,99586,254,10,soaringeagletransit.com,6667,0,0,0,Alaska Non-UZA,"Gulkana ANVSA, AK",0,0, ,3, ,3, , ,Insufficient or Blank address,**  Centroid Lat/Long   **,-143.7604,62.459,Yet To Be Contacted
49,95,00095,0T11,Lummi Nation,LIBC, ,Active,Reduced Reporter,Tribal,Tribe, , , ,12/31/2016 0:00,4/30/2017 0:00,2828 Kwina Rd, , ,Bellingham,WA,98226, ,10,http://lummi-nsn.gov/,6684,0,0,0,Washington Non-UZA,"Lummi Reservation, WA",0,0, ,2, ,2, , ,100% Overall probable correctness,** Street-Level Rooftop **,-122.638888,48.793943,Yet To Be Contacted
50,103,00103,0T16,Squaxin Island Tribe, , ,Active,Reduced Reporter,Tribal,Tribe, , , ,12/31/2016 0:00,4/30/2017 0:00,10 SE Squaxin, , ,Shelton,WA,98584, ,10,http://squaxinisland.org/government/departments/community-development/squaxin-island-transit/,6686,0,0,0,Washington Non-UZA,"Squaxin Island Reservation and Off-Reservation Trust Land, WA",0,0, ,3, ,3, , ,90% Overall probable correctness,** Street-Level Rooftop **,-123.079648,47.122067,Yet To Be Contacted
51,111,00111,0T03,Confederated Tribes and Bands of The Yakama Nation,CTABOTYN, ,Active,Reduced Reporter,Tribal,Tribe, , , ,9/30/2016 0:00,1/31/2017 0:00,401 Fort  Road, ,151,Toppenish,WA,98948, ,10,http://www.pahtotransit.com,1724,0,0,0,Washington Non-UZA,"Yakama Nation Reservation and Off-Reservation Trust Land, WA",0,0, ,7, ,7, , ,House # not found on this street,** Street-Level Rooftop **,-120.337479,46.375189,Yet To Be Contacted
52,119,00119,0T06,Confederated Tribes of the Umatilla Indian Reservation,CTUIR, ,Active,Reduced Reporter,Tribal,Tribe, , , ,12/31/2016 0:00,4/30/2017 0:00,46411 Timine Way, , ,Pendleton,OR,97801, ,10,http://www.ctuir.org/,6800,0,0,0,Oregon Non-UZA,"Umatilla Reservation and Off-Reservation Trust Land, OR",0,0, ,7,5,12, , ,100% Overall probable correctness,** Street-Level Rooftop **,-118.68834,45.666178,Yet To Be Contacted
53,127,00127,0T07,Cowlitz Indian Tribe,CITDOT, ,Active,Reduced Reporter,Tribal,Tribe, , , ,12/31/2016 0:00,4/30/2017 0:00,PO Box 2547,Suite B,2547,Longview,WA,98632,9200,10,http://www.cowlitz.org/,6808,0,0,0,Washington Non-UZA, ,0,0, ,5, ,5, , ,100% Overall probable correctness,**  Centroid Lat/Long   **,-122.9714,46.1576,Yet To Be Contacted
54,135,00135,0T12,Nez Perce Tribe, , ,Active,Reduced Reporter,Tribal,Tribe, , , ,9/30/2016 0:00,1/31/2017 0:00,365,120 Bever Grade, ,Lapwai,ID,83540,365,10,http://www.nezperce.org/,1722,0,0,0,Idaho Non-UZA,"Nez Perce Reservation, ID",0,0, ,4, ,4, , ,House # not found on this street,**  Centroid Lat/Long   **,-116.7778,46.2939,Yet To Be Contacted
55,159,00159,0T18,Tetlin Village Council, , ,Active,Reduced Reporter,Tribal,Tribe, , , ,9/30/2016 0:00,1/31/2017 0:00,PO Box 797, , ,Tok,AK,99780, ,10,http://www.tetlindot.com/,6812,0,0,0,Alaska Non-UZA,"Tetlin ANVSA, AK",0,0, ,1, ,1, , ,100% Overall probable correctness,**  Centroid Lat/Long   **,-142.511,63.8705,Yet To Be Contacted
56,175,00175,0T20,Manley Village Council,MVC, ,Active,Reduced Reporter,Tribal,Tribe, , , ,9/30/2016 0:00,1/31/2017 0:00,149 mile Elliott Highway, ,105,Manley Hot Springs,AK,99756,105,10, ,6804,0,0,0,Alaska Non-UZA,"Manley Hot Springs ANVSA, AK",0,0, ,1, ,1, , ,Street not found,**  Centroid Lat/Long   **,-150.7985,65.1127,Yet To Be Contacted
57,183,00183,0T21,Quinault Tribe of the Quinault Reservation,QIN, ,Active,Reduced Reporter,Tribal,Tribe, , , ,9/30/2016 0:00,1/31/2017 0:00,1214 Aalis Drive, ,189,Taholah,WA,98587,189,10,quinaultindiannation.com,6677,0,0,0,Washington Non-UZA,"Quinault Reservation, WA",0,0, ,2, ,2, , ,House # not found on this street,**  Centroid Lat/Long   **,-124.1377,47.3891,Yet To Be Contacted
58,199,00199,0T23,Seldovia Village Tribe,SVT, ,Active,Reduced Reporter,Tribal,Tribe, , , ,9/30/2016 0:00,1/31/2017 0:00,Drawer L, , ,Seldovia,AK,99663, ,10,http://www.svt.org/,8827,0,0,0,Alaska Non-UZA,"Seldovia ANVSA, AK",0,0, ,1, ,1, , ,Insufficient or Blank address,**  Centroid Lat/Long   **,-151.6046,59.4053,Yet To Be Contacted
59,223,00223,0T28,Jamestown S'Klallam Tribe,JST, ,Active,Reduced Reporter,Tribal,Tribe, , , ,3/31/2016 0:00,10/31/2016 0:00,1033 Old Blyn Highway, , ,Sequim,WA,98382, ,10,http://www.jamestowntribe.org/,6986,0,0,0,Washington Non-UZA,"Jamestown S'Klallam Reservation and Off-Reservation Trust Land, WA",0,0, ,0, ,0, , ,100% Overall probable correctness,** Street-Level Rooftop **,-122.99562,48.0263,Yet To Be Contacted
60,231,00231,0T33,Confederated Tribes of Warm Springs,CTWS,Confederated Tribes of Warm Springs,Active,Reduced Reporter,Tribal,Tribe, , , ,12/31/2016 0:00,4/30/2017 0:00,1233 Veterans Street, ,C,Warm Springs,OR,97761, ,10,https://warmsprings-nsn.gov/,6978,0,0,0,Oregon Non-UZA,"Warm Springs Reservation and Off-Reservation Trust Land, OR",0,0, ,0, ,0, , ,Street not found,**  Centroid Lat/Long   **,-121.5136,44.6969,Yet To Be Contacted
